address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
192.168.10.30,02:42:0a:00:00:04,,1200,1764668557,1,1,1,cliente4.stark.lan,0,,0
192.168.12.30,02:42:0c:00:00:14,,600,1764667957,3,1,1,cliente20.targaryen.lan,0,,0
192.168.10.32,02:42:0a:00:00:07,,1200,1764668557,1,1,1,cliente7.stark.lan,0,,0
192.168.10.31,00:11:22:33:44:55,,1200,1764668557,1,1,1,bran.stark.lan,0,,0
192.168.11.30,02:42:0b:00:00:0a,,600,1764667957,2,1,1,cliente10.lannister.lan,0,,0
192.168.10.101,02:42:0a:00:00:06,,1200,1764668557,1,1,1,cliente6.stark.lan,0,,0
192.168.10.102,02:42:0a:00:00:02,,1200,1764668557,1,1,1,cliente2.stark.lan,0,,0
192.168.10.103,02:42:0a:00:00:05,,1200,1764668557,1,1,1,cliente5.stark.lan,0,,0
192.168.10.104,02:42:0a:00:00:01,,1200,1764668557,1,1,1,cliente1.stark.lan,0,,0
192.168.10.105,02:42:0a:00:00:03,,1200,1764668557,1,1,1,cliente3.stark.lan,0,,0
